name,fluentd.limits.cpu,fluentd.limits.memory,fluentd.requests.cpu,fluentd.requests.memory,memcached.limits.cpu,memcached.limits.memory,memcached.requests.cpu,memcached.requests.memory,mysql.limits.cpu,mysql.limits.memory,mysql.requests.cpu,mysql.requests.memory,nfsServer.limits.cpu,nfsServer.limits.memory,nfsServer.requests.cpu,nfsServer.requests.memory,nginx.limits.cpu,nginx.limits.memory,nginx.requests.cpu,nginx.requests.memory,php.limits.cpu,php.limits.memory,php.requests.cpu,php.requests.memory,sftp.limits.cpu,sftp.limits.memory,sftp.requests.cpu,sftp.requests.memory,sftpAuth.limits.cpu,sftpAuth.limits.memory,sftpAuth.requests.cpu,sftpAuth.requests.memory,storage.limits.cpu,storage.limits.memory,storage.requests.cpu,storage.requests.memory,telegraf.limits.cpu,telegraf.limits.memory,telegraf.requests.cpu,telegraf.requests.memory,varnish.limits.cpu,varnish.limits.memory,varnish.requests.cpu,varnish.requests.memory,wpenginex.limits.cpu,wpenginex.limits.memory,wpenginex.requests.cpu,wpenginex.requests.memory
p1-php-v0,N/A,N/A,N/A,N/A,1000m,904Mi,100m,144Mi,1000m,4121Mi,100m,1718Mi,500m,198Mi,100m,198Mi,1800m,4144Mi,100m,1607Mi,4500m,7635Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p0-db-v0,N/A,N/A,N/A,N/A,1000m,579Mi,100m,144Mi,3000m,5659Mi,100m,1718Mi,500m,198Mi,100m,198Mi,1500m,4144Mi,100m,1607Mi,1800m,4822Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p6-db-xl-v0,N/A,N/A,N/A,N/A,3000m,6299Mi,1500m,1000Mi,24000m,85830Mi,12000m,51498Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2000m,1946Mi,10000m,16000Mi,8000m,5333Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,10430Mi,100m,2608Mi,1250m,1500Mi,100m,256Mi
p10-php-v0,N/A,N/A,N/A,N/A,4000m,11100Mi,3500m,1500Mi,7000m,109000Mi,4000m,31000Mi,500m,198Mi,100m,198Mi,3000m,6144Mi,3000m,1946Mi,33500m,36500Mi,28000m,10100Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,26500Mi,100m,6500Mi,1500m,1500Mi,100m,256Mi
p9-db-xl-v0,N/A,N/A,N/A,N/A,4000m,9900Mi,3000m,1500Mi,34000m,140000Mi,17000m,45068Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2000m,1946Mi,15000m,28000Mi,12000m,8900Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,22500Mi,100m,5500Mi,1000m,1500Mi,100m,256Mi
p6-php-v0,N/A,N/A,N/A,N/A,3000m,6299Mi,1500m,1000Mi,4750m,56121Mi,2000m,14871Mi,500m,198Mi,100m,198Mi,3000m,6144Mi,2200m,1946Mi,17500m,19000Mi,15000m,5333Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,10430Mi,100m,2608Mi,1250m,1500Mi,100m,256Mi
p10-db-v0,N/A,N/A,N/A,N/A,4000m,11100Mi,3500m,1500Mi,16000m,123000Mi,3000m,37000Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2500m,1946Mi,28000m,32000Mi,28000m,10100Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,26500Mi,100m,6500Mi,1500m,1500Mi,100m,256Mi
p3,N/A,N/A,N/A,N/A,1000m,1316Mi,100m,144Mi,2000m,22600Mi,100m,3919Mi,500m,99Mi,100m,99Mi,3000m,6144Mi,100m,1946Mi,4600m,7210Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,2555Mi,100m,879Mi,1000m,512Mi,100m,105Mi
p5,N/A,N/A,N/A,N/A,2000m,4777Mi,1000m,500Mi,3000m,38815Mi,1500m,11151Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,3200m,1946Mi,10500m,15000Mi,10500m,4000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,2000m,6632Mi,100m,1658Mi,2500m,1500Mi,100m,256Mi
p8,N/A,N/A,N/A,N/A,4000m,8700Mi,2500m,1500Mi,5000m,78500Mi,2500m,23000Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,4000m,1946Mi,21000m,28500Mi,21000m,7700Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,3000m,18500Mi,100m,4500Mi,4000m,3000Mi,100m,256Mi
p1-dense-v0,N/A,N/A,N/A,N/A,1000m,904Mi,100m,144Mi,1000m,3150Mi,100m,1718Mi,500m,198Mi,100m,198Mi,3000m,7212Mi,100m,1607Mi,3300m,5538Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p7-db-xl-v0,N/A,N/A,N/A,N/A,4000m,7500Mi,2000m,1500Mi,30000m,107288Mi,13000m,60000Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2000m,1946Mi,12000m,20000Mi,9000m,6500Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,14433Mi,100m,3500Mi,1500m,1500Mi,100m,256Mi
p1.5-dense-v0,N/A,N/A,N/A,N/A,1000m,983Mi,100m,144Mi,1500m,5800Mi,100m,3002Mi,500m,99Mi,100m,99Mi,3000m,7844Mi,100m,1805Mi,4500m,6492Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,812Mi,500m,512Mi,100m,105Mi
p4-dense-v0,N/A,N/A,N/A,N/A,1000m,3254Mi,100m,186Mi,2500m,25010Mi,100m,7318Mi,500m,198Mi,100m,198Mi,4000m,9656Mi,100m,1946Mi,8000m,8000Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1500m,3555Mi,100m,1241Mi,1500m,512Mi,100m,256Mi
p3-php-v0,N/A,N/A,N/A,N/A,1000m,1880Mi,100m,144Mi,2000m,23000Mi,100m,3919Mi,500m,198Mi,100m,198Mi,2500m,5013Mi,100m,1946Mi,6500m,7867Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2555Mi,100m,879Mi,500m,512Mi,100m,105Mi
p7-dense-xl-v0,N/A,N/A,N/A,N/A,4000m,7500Mi,2000m,1500Mi,4500m,53801Mi,2250m,18514Mi,500m,198Mi,100m,198Mi,4000m,47684Mi,3200m,20000Mi,17500m,20000Mi,17500m,6500Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,2000m,14433Mi,100m,3500Mi,3500m,2500Mi,100m,256Mi
p4-php-v0,N/A,N/A,N/A,N/A,1000m,2603Mi,100m,186Mi,3000m,27010Mi,100m,7318Mi,500m,99Mi,100m,99Mi,3000m,6144Mi,100m,1946Mi,9500m,10774Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,3555Mi,100m,1241Mi,1000m,512Mi,100m,256Mi
p9-db-v0,N/A,N/A,N/A,N/A,4000m,9900Mi,3000m,1500Mi,14000m,107000Mi,2750m,32000Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2500m,1946Mi,24500m,28000Mi,24500m,8900Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,22500Mi,100m,5500Mi,1500m,1500Mi,100m,256Mi
p8-db-xl-v0,N/A,N/A,N/A,N/A,4000m,8700Mi,2500m,1500Mi,32000m,128746Mi,14000m,40000Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2000m,1946Mi,15000m,24000Mi,12000m,7700Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,18500Mi,100m,4500Mi,1500m,1500Mi,100m,256Mi
p1-db-v0,N/A,N/A,N/A,N/A,1000m,904Mi,100m,144Mi,3200m,6633Mi,100m,1718Mi,500m,198Mi,100m,198Mi,1800m,4144Mi,100m,1607Mi,2300m,5538Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p9-php-xl-v0,N/A,N/A,N/A,N/A,4000m,9900Mi,3000m,1500Mi,7500m,97000Mi,3750m,27000Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,4000m,1946Mi,38500m,37000Mi,32000m,19000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,22500Mi,100m,5500Mi,1500m,1500Mi,100m,256Mi
